office,num,cat,addr,build_area,land_area,price,lowest,result,date,status,low_per,res_per,comment
서울북부4계,2020-107247,아파트,"서울특별시 노원구 월계동 939, 104동 4층 405호 (월계동,월계흥화브라운빌)",29.9㎡ (9.04평),14.18㎡ (4.29평),"215,000,000","215,000,000","249,000,100",2021-07-05(10:00),매각,100%,116%,토지및건물 지분매각
서울동부4계,2014-10360,아파트,"서울특별시 강동구 성내동 598, 103동 4층 401호 (성내동,성내1차이편한세상)",84.18㎡ (25.46평),47.08㎡ (14.24평),"450,000,000","450,000,000","1,037,200,000",2021-06-28(10:00),매각,100%,230%,
서울북부1계,2019-110452,아파트,"서울특별시 강북구 미아동 8-87, 7층701호 (미아동,스카이빌)",163.91㎡ (49.58평),45.52㎡ (13.77평),"403,000,000","403,000,000","603,000,000",2021-06-28(10:00),매각,100%,150%,
서울동부4계,2020-1817,아파트,"서울특별시 광진구 자양동 784-1, 103동 8층802호 (자양동,대동아파트)",84.65㎡ (25.61평),30.72㎡ (9.29평),"935,000,000","935,000,000","1,297,999,990",2021-06-28(10:00),매각,100%,139%,
서울북부1계,2020-5495,아파트,"서울특별시 성북구 정릉동 1024, 101동 8층805호 (정릉동,피오레아파트)",47.3㎡ (14.31평),21.7㎡ (6.56평),"272,000,000","217,600,000","302,500,000",2021-06-28(10:00),매각,80%,111%,토지및건물 지분매각
서울북부2계,2020-7194,아파트,"서울특별시 성북구 종암동 3-91, 12층1308호 (종암동,노블레스타워 노인복지주택)",74.01㎡ (22.39평),31.98㎡ (9.67평),"570,000,000","570,000,000","581,110,000",2021-06-28(10:00),매각,100%,102%,
서울남부9계,2019-4325,아파트,"서울특별시 구로구 신도림동 290, 5동 3층309호 (신도림동,미성아파트)",66.03㎡ (19.97평),35.7㎡ (10.8평),"422,000,000","422,000,000","851,770,000",2021-06-22(10:00),매각,100%,202%,
서울중앙1계,2020-4585,아파트,"서울특별시 관악구 봉천동 1727, 101동 3층307호 (봉천동,관악 한일 유앤아이)",84.866㎡ (25.67평),51.2281㎡ (15.5평),"730,000,000","730,000,000","803,700,000",2021-06-22(10:00),매각,100%,110%,대항력있는임차인
서울중앙1계,2020-106887,아파트,"서울특별시 강남구 일원동 718, 101동 5층502호 (일원동,샘터마을아파트)",6.72㎡ (2.03평),29.29㎡ (8.86평),"1,010,000,000","1,010,000,000","1,010,000,000",2021-06-22(10:00),매각,100%,100%,토지및건물 지분매각
서울남부9계,2020-111120,아파트,"서울특별시 양천구 목동 954, 제102동 제6층 제605호 (목동, 목동웨스트빌아파트)",77.349㎡ (23.4평),38.437㎡ (11.63평),"566,000,000","566,000,000","731,000,000",2021-06-22(10:00),매각,100%,129%,대항력있는임차인
서울북부8계,2019-3240,아파트,"서울특별시 동대문구 장안동 378-3, 4층402호 (장안동,공감대아파트)",109.1㎡ (33평),51.6416㎡ (15.62평),"460,000,000","460,000,000","560,000,000",2021-06-21(10:00),매각,100%,122%,
서울동부1계,2020-4564,아파트,"서울특별시 송파구 신천동 17, 117동 2층201호 (신천동,파크리오)",121.63㎡ (36.79평),55.28㎡ (16.72평),"2,042,000,000","2,042,000,000","2,503,000,000",2021-06-21(10:00),매각,100%,123%,공유물분할경매
서울북부9계,2020-5068,아파트,"서울특별시 성북구 돈암동 609-1, 210동 4층402호 (돈암동,한진아파트)",84.87㎡ (25.67평),35.36㎡ (10.7평),"710,000,000","710,000,000","787,920,000",2021-06-21(10:00),매각,100%,111%,
서울북부8계,2020-5129,아파트,"서울특별시 중랑구 신내동 317, 103동 14층1406호 (신내동,데시앙)",23.37㎡ (7.07평),6.711㎡ (2.03평),"68,000,000","68,000,000","80,888,800",2021-06-21(10:00),매각,100%,119%,형식적경매
서울동부1계,2020-50925,아파트,"서울특별시 강동구 명일동 44, 6동 13층1301호 (명일동,신동아아파트)",127.33㎡ (38.52평),75.81㎡ (22.93평),"1,800,000,000","1,440,000,000","1,765,800,000",2021-06-21(10:00),매각,80%,98%,
서울북부9계,2020-104880,아파트,"서울특별시 성북구 정릉동 435, 201동 8층801호 (정릉동,중앙하이츠빌2단지)",84.6824㎡ (25.62평),40.6947㎡ (12.31평),"690,000,000","441,600,000","716,923,000",2021-06-21(10:00),매각,64%,104%,
서울북부9계,2020-107216,아파트,"서울특별시 노원구 월계동 448-3, 다동 401호",22.24㎡ (6.73평),11.69㎡ (3.54평),"116,000,000","116,000,000","143,888,800",2021-06-21(10:00),매각,100%,124%,대항력있는임차인
서울남부5계,2020-109264,아파트,"서울특별시 강서구 화곡동 1160, 제7층 제705호 (화곡동,상진지오벨리아파트)",64.78㎡ (19.6평),39.3222㎡ (11.89평),"300,000,000","300,000,000","379,000,000",2021-06-17(10:00),매각,100%,126%,대항력있는임차인
서울중앙4계,2019-109354,아파트,"서울특별시 강남구 도곡동 527, 403동 1층 103호 (도곡동,도곡렉슬아파트)",119.8906㎡ (36.27평),55.1442㎡ (16.68평),"2,235,000,000","2,235,000,000","2,948,999,000",2021-06-16(10:00),매각,100%,132%,법정지상권
서울중앙4계,2020-104492,아파트,"서울특별시 서초구 방배동 881-26, 201동 12층1204호 (방배동,방배2차이-편한세상)",81.68㎡ (24.71평),31.3㎡ (9.47평),"935,000,000","935,000,000","941,111,000",2021-06-16(10:00),매각,100%,101%,토지및건물 지분매각
서울남부8계,2020-108865,아파트,"서울특별시 강서구 화곡동 353-50, 제5층 제502호",33.74㎡ (10.21평),18.76㎡ (5.67평),"150,000,000","120,000,000","140,133,000",2021-06-16(10:00),매각,80%,93%,대항력있는임차인
서울중앙3계,2020-3049,아파트,"서울특별시 강남구 대치동 511, 106동 6층607호 (대치동,한보미도맨션)",141.32㎡ (42.75평),78.25㎡ (23.67평),"2,930,000,000","2,930,000,000","3,661,227,000",2021-06-15(10:00),매각,100%,125%,
서울서부7계,2020-4276,아파트,"서울특별시 서대문구 홍제동 454, 103동 1층106호 (홍제동,유원하나아파트)",72.34㎡ (21.88평),33.99㎡ (10.28평),"425,000,000","425,000,000","501,150,000",2021-06-15(10:00),매각,100%,118%,형식적경매
서울서부5계,2020-56772,아파트,"서울특별시 서대문구 홍제동 461, 106동 11층 1101호 (홍제동,홍제삼성래미안아파트)",32.76㎡ (9.91평),17.31㎡ (5.24평),"508,000,000","508,000,000","541,050,000",2021-06-15(10:00),매각,100%,107%,
서울서부5계,2020-57188,아파트,"서울특별시 서대문구 홍제동 455, 제102동 제6층 제604호",84.96㎡ (25.7평),36.41㎡ (11.01평),"690,000,000","690,000,000","732,120,000",2021-06-15(10:00),매각,100%,106%,
서울동부5계,2020-2179,아파트,"서울특별시 송파구 가락동 95-1, 106동 15층1501호 (가락동,가락금호아파트)",59.91㎡ (18.12평),17.886㎡ (5.41평),"1,025,000,000","1,025,000,000",,2021-06-14(10:00),배당종결,100%,,
서울동부5계,2020-3585,아파트,"서울특별시 송파구 문정동 1, 125동 14층1403호 (문정동,문정래미안아파트)",120.97㎡ (36.59평),49.68㎡ (15.03평),"1,450,000,000","1,450,000,000","1,791,000,000",2021-06-14(10:00),매각,100%,124%,
서울동부5계,2020-54347,아파트,"서울특별시 강동구 성내동 542, 2층202호 (성내동,노블네스트)",101.32㎡ (30.65평),37.84㎡ (11.45평),"700,000,000","700,000,000","720,000,000",2021-06-14(10:00),매각,100%,103%,
서울동부5계,2020-55111,아파트,"서울특별시 광진구 자양동 642, 501동 14층1401호 (자양동,자양5차현대아파트)",38.47㎡ (11.64평),12.11㎡ (3.66평),"484,500,000","484,500,000","540,990,000",2021-06-14(10:00),매각,100%,112%,토지및건물 지분매각
서울동부5계,2020-55173,아파트,"서울특별시 송파구 가락동 95-1, 103동 20층2004호 (가락동,가락금호아파트)",85㎡ (25.71평),25.376㎡ (7.68평),"1,390,000,000","1,390,000,000","1,481,000,000",2021-06-14(10:00),매각,100%,107%,
서울남부3계,2020-5911,아파트,"서울특별시 영등포구 당산동 121-108, 제6층 제606호 (당산동,훼미리하우스138)",14.28㎡ (4.32평),4.774㎡ (1.44평),"136,000,000","108,800,000","121,808,000",2021-06-10(10:00),매각,80%,90%,
서울서부6계,2019-56455,아파트,"서울특별시 용산구 이촌동 435, 6층603호 (이촌동,보람 더하임)",84.5839㎡ (25.59평),49.467㎡ (14.96평),"1,385,000,000","1,385,000,000","1,385,116,000",2021-06-01(10:00),매각,100%,100%,"공유물분할경매,대항력있는임차인"
서울서부3계,2020-1727,아파트,"서울특별시 마포구 대흥동 660, 111동 20층2001호 (대흥동,마포태영아파트)",114.93㎡ (34.77평),36.54㎡ (11.05평),"1,570,000,000","1,570,000,000","1,703,000,000",2021-06-01(10:00),매각,100%,108%,
서울서부3계,2020-54073,아파트,"서울특별시 은평구 신사동 297, 제102동 제6층 제606호 (신사동,씨티아파트)",58.09㎡ (17.57평),18.0246㎡ (5.45평),"356,000,000","356,000,000","480,000,000",2021-06-01(10:00),매각,100%,135%,
서울북부3계,2020-105951,아파트,"서울특별시 노원구 상계동 1318, 101동 6층604호 (상계동,노원아이파크)",139.28㎡ (42.13평),41.74㎡ (12.63평),"703,000,000","449,920,000","783,000,000",2021-05-31(10:00),매각,64%,111%,대항력있는임차인
서울북부3계,2020-106305,아파트,"서울특별시 성북구 석관동 110-2, 1동 2층201호 (석관동,중앙하이츠아파트)",42.43㎡ (12.84평),15.65㎡ (4.73평),"269,000,000","172,160,000","281,100,000",2021-05-31(10:00),매각,64%,104%,토지및건물 지분매각
서울북부3계,2020-107230,아파트,"서울특별시 강북구 미아동 1354, 106동 1층 101호 (미아동,벽산라이브파크아파트)",84.89㎡ (25.68평),43.31㎡ (13.1평),"567,000,000","567,000,000","625,380,000",2021-05-31(10:00),매각,100%,110%,
서울북부3계,2020-108356,아파트,"서울특별시 성북구 하월곡동 226, 108동 8층804호 (하월곡동,월곡래미안루나밸리)",84.88㎡ (25.68평),43.4439㎡ (13.14평),"890,000,000","890,000,000","998,980,000",2021-05-31(10:00),매각,100%,112%,
서울북부4계,2020-109472,아파트,"서울특별시 중랑구 면목동 1502, 104동 1층105호 (면목동,면목현대아파트)",72.63㎡ (21.97평),29.22㎡ (8.84평),"549,000,000","549,000,000","592,950,000",2021-05-31(10:00),매각,100%,108%,
서울북부2계,2020-5501,아파트,"서울특별시 중랑구 면목동 1510, 201동 17층1704호 (면목동,면목두산아파트)",134.2㎡ (40.6평),36.598㎡ (11.07평),"769,000,000","769,000,000","889,999,990",2021-05-24(10:00),매각,100%,116%,
서울중앙1계,2020-1838,아파트,"서울특별시 관악구 봉천동 464-41, 2층201호",147.4㎡ (44.59평),50.67㎡ (15.33평),"615,000,000","615,000,000","651,110,000",2021-05-18(10:00),매각,100%,106%,대항력있는임차인
서울중앙1계,2020-3377,아파트,"서울특별시 관악구 신림동 1433-55, 11층1103호 (신림동,프라비다트라움)",14.06㎡ (4.25평),4.492㎡ (1.36평),"125,000,000","100,000,000","124,000,000",2021-05-18(10:00),매각,80%,99%,
서울중앙1계,2020-104454,아파트,"서울특별시 종로구 평창동 66-1, 3층 304호 (평창동,엘리시아)",236.07㎡ (71.41평),135.86㎡ (41.1평),"1,327,000,000","1,061,600,000","1,233,300,000",2021-05-18(10:00),매각,80%,93%,
서울북부5계,2019-5963,아파트,"서울특별시 동대문구 용두동 794, 102동 8층804호 (용두동,용두롯데캐슬리치)",59.9858㎡ (18.15평),36.58㎡ (11.07평),"745,000,000","745,000,000","961,060,000",2021-05-17(10:00),매각,100%,129%,대항력있는임차인
서울북부5계,2020-4690,아파트,"서울특별시 성북구 안암동1가 361, 112동 8층801호 (안암동1가,래미안안암)",114.926㎡ (34.76평),71.388㎡ (21.59평),"860,000,000","860,000,000","974,270,000",2021-05-17(10:00),매각,100%,113%,대항력있는임차인
서울북부8계,2020-105456,아파트,"서울특별시 성북구 하월곡동 228, 108동 2층202호 (하월곡동,꿈의숲 푸르지오)",59.65㎡ (18.04평),39.9951㎡ (12.1평),"595,000,000","595,000,000","735,790,000",2021-05-17(10:00),매각,100%,124%,
서울북부9계,2020-106145,아파트,"서울특별시 중랑구 면목동 1543, 108동 3층303호 (면목동,한양수자인사가정파크)",13.32㎡ (4.03평),7.55㎡ (2.28평),"143,000,000","143,000,000","157,888,880",2021-05-17(10:00),매각,100%,110%,토지및건물 지분매각
서울북부8계,2020-107049,아파트,"서울특별시 중랑구 신내동 479, 3동 15층 1502호 (신내동,중앙하이츠아파트)",84.97㎡ (25.7평),38.01㎡ (11.5평),"569,000,000","569,000,000","606,100,000",2021-05-17(10:00),매각,100%,107%,선순위전세권
서울북부8계,2020-107407,아파트,"서울특별시 노원구 상계동 135, 4동 4층 402호 (상계동,한신아파트)",45.44㎡ (13.75평),29.86㎡ (9.03평),"261,000,000","261,000,000","415,999,999",2021-05-17(10:00),매각,100%,159%,
서울북부8계,2020-108035,아파트,"서울특별시 노원구 하계동 274, 708동 4층 409호 (하계동,청솔아파트)",49.5㎡ (14.97평),31.74㎡ (9.6평),"510,000,000","510,000,000","564,970,000",2021-05-17(10:00),매각,100%,111%,대항력있는임차인
서울남부5계,2020-6143,아파트,"서울특별시 구로구 구로동 1263, 제110동 제14층 제1402호 (구로동,신도림롯데아파트)",131.3㎡ (39.72평),60.3014㎡ (18.24평),"940,000,000","940,000,000","1,188,990,000",2021-05-13(10:00),매각,100%,126%,
서울서부7계,2016-52087,아파트,"서울특별시 마포구 아현동 371-1, 6층607호 (아현동,예미원아파트)",71.83㎡ (21.73평),20.93㎡ (6.33평),"804,000,000","411,648,000","670,099,999",2021-05-11(10:00),매각,51%,83%,"대항력있는임차인,임금채권"
서울서부5계,2019-6504,아파트,"서울특별시 서대문구 홍제동 283-36, 101동 12층 1201호 (홍제동,마체스터 아파트)",140.51㎡ (42.5평),89.55㎡ (27.09평),"568,000,000","568,000,000","753,009,001",2021-05-11(10:00),매각,100%,133%,
서울중앙3계,2020-103192,아파트,"서울특별시 관악구 봉천동 1698-1, 107동 9층 905호 (봉천동,보라매삼성아파트)",84.84㎡ (25.66평),33.18㎡ (10.04평),"747,000,000","747,000,000","800,000,000",2021-05-11(10:00),매각,100%,107%,대항력있는임차인
서울동부5계,2020-2414,아파트,"서울특별시 성동구 상왕십리동 12-47, 17층1701호 (상왕십리동,청계센트럴큐브)",24.76㎡ (7.49평),6.0785㎡ (1.84평),"320,000,000","256,000,000","310,600,000",2021-05-10(10:00),매각,80%,97%,
서울동부5계,2020-53900,아파트,"서울특별시 강동구 고덕동 693, 122동 9층903호 (고덕동,고덕그라시움)",59.508㎡ (18평),33.0063㎡ (9.98평),"1,290,000,000","1,032,000,000","1,362,511,001",2021-05-10(10:00),매각,80%,106%,
서울동부5계,2020-54316,아파트,"서울특별시 송파구 마천동 181, 101동 10층1004호 (마천동,아울렛코리아라이프(상가)현대그린빌(아파트))",46.8㎡ (14.16평),16.96㎡ (5.13평),"390,000,000","390,000,000","471,990,000",2021-05-10(10:00),매각,100%,121%,
서울중앙7계,2020-104737,아파트,"서울특별시 관악구 남현동 1066-13, 7층 702호 (남현동,관악산센텀아파트)",72.41㎡ (21.9평),32.76㎡ (9.91평),"602,000,000","602,000,000","618,263,800",2021-05-06(10:00),매각,100%,103%,대항력있는임차인
서울동부3계,2020-53078,아파트,"서울특별시 송파구 방이동 51, 16층1602호 (방이동,올림픽파크리움)",14.671㎡ (4.44평),2.895㎡ (0.88평),"205,000,000","164,000,000","177,800,000",2021-05-03(10:00),매각,80%,87%,
서울동부3계,2020-54606,아파트,"서울특별시 송파구 방이동 89, 248동 6층601호 (방이동,올림픽선수기자촌아파트)",147.44㎡ (44.6평),109.22㎡ (33.04평),"2,470,000,000","2,470,000,000","2,611,000,000",2021-05-03(10:00),매각,100%,106%,대항력있는임차인
서울서부1계,2019-52477,아파트,"서울특별시 서대문구 천연동 145, 105동 10층 1004호 (천연동,천연뜨란채)",55.85㎡ (16.89평),32.07㎡ (9.7평),"580,000,000","580,000,000","750,009,999",2021-04-27(10:00),매각,100%,129%,
서울서부1계,2020-2607,아파트,"서울특별시 은평구 대조동 6-19, 3층301호",53.23㎡ (16.1평),7.615㎡ (2.3평),"241,000,000","192,800,000","207,770,000",2021-04-27(10:00),매각,80%,86%,대항력있는임차인
서울중앙21계,2020-4097,아파트,"서울특별시 동작구 대방동 500, 103동 13층1305호 (대방동,성원아파트)",42.16㎡ (12.75평),13.8㎡ (4.17평),"503,000,000","402,400,000","635,000,000",2021-04-27(10:00),매각,80%,126%,토지및건물 지분매각
서울남부4계,2020-4505,아파트,"서울특별시 강서구 방화동 852, 1203동 12층1201호 (방화동,방화12단지도시개발공사아파트)",59.34㎡ (17.95평),36.578㎡ (11.06평),"461,000,000","461,000,000","588,899,001",2021-04-27(10:00),매각,100%,128%,대항력있는임차인
서울남부4계,2020-5447,아파트,"서울특별시 영등포구 양평동3가 90-1, 제103동 제14층 제1402호 (양평동3가,거성파스텔아파트)",131.34㎡ (39.73평),41.029㎡ (12.41평),"950,000,000","950,000,000","1,036,100,000",2021-04-27(10:00),매각,100%,109%,대항력있는임차인
서울서부1계,2020-50552,아파트,서울특별시 용산구 이촌동  193-5 1동호 강서아파트,59.04㎡ (17.86평),,"120,000,000","120,000,000","150,000,000",2021-04-27(10:00),매각,100%,125%,건물만매각
서울중앙21계,2020-108210,아파트,"서울특별시 서초구 방배동 1008-2, 104동 18층1803호 (방배동,래미안방배아트힐)",42.54㎡ (12.87평),17.04㎡ (5.15평),"600,000,000","600,000,000","637,887,000",2021-04-27(10:00),매각,100%,106%,토지및건물 지분매각
서울북부3계,2020-1950,아파트,"서울특별시 도봉구 방학동 734-1, 110동 15층1505호 (방학동,청구아파트)",84.97㎡ (25.7평),38.3227㎡ (11.59평),"386,000,000","386,000,000","563,900,000",2021-04-26(10:00),매각,100%,146%,
서울동부2계,2020-3288,아파트,"서울특별시 성동구 성수동2가 846, 12층1203호 (성수동2가,이-아름다운세상)",70.71㎡ (21.39평),37.606㎡ (11.38평),"699,000,000","699,000,000","789,300,000",2021-04-26(10:00),매각,100%,113%,대항력있는임차인
서울북부3계,2020-4256,아파트,"서울특별시 도봉구 쌍문동 59-5, 602동 15층1503호 (쌍문동,쌍문6차한양아파트)",83.86㎡ (25.37평),42㎡ (12.7평),"426,000,000","426,000,000","577,700,000",2021-04-26(10:00),매각,100%,136%,
서울북부4계,2020-5310,아파트,"서울특별시 강북구 미아동 1369, 105동 12층1202호 (미아동,꿈의숲해링턴플레이스)",99.93㎡ (30.23평),58.8442㎡ (17.8평),"1,070,000,000","1,070,000,000","1,121,110,000",2021-04-26(10:00),매각,100%,105%,
서울동부2계,2020-52754,아파트,"서울특별시 성동구 금호동1가 633, 101동 4층404호 (금호동1가,벽산아파트)",84.82㎡ (25.66평),45.72㎡ (13.83평),"869,000,000","869,000,000","1,185,699,900",2021-04-26(10:00),매각,100%,136%,대항력있는임차인
서울동부2계,2020-54125,아파트,"서울특별시 강동구 천호동 28, 101동 3층307호 (천호동,용명브릿지아파트)",80㎡ (24.2평),45.39㎡ (13.73평),"450,000,000","450,000,000","828,920,000",2021-04-26(10:00),매각,100%,184%,공유물분할경매
서울동부2계,2020-54385,아파트,"서울특별시 송파구 방이동 89, 110동 15층1502호 (방이동,올림픽선수기자촌아파트)",41.53㎡ (12.56평),34.42㎡ (10.41평),"901,000,000","720,800,000","828,920,000",2021-04-26(10:00),매각,80%,92%,토지및건물 지분매각
서울동부2계,2020-54712,아파트,"서울특별시 송파구 오금동 9-7, 6층602호 (오금동,노블하우스)",75.04㎡ (22.7평),38.67㎡ (11.7평),"442,000,000","442,000,000","539,999,000",2021-04-26(10:00),매각,100%,122%,대항력있는임차인
서울북부4계,2020-107803,아파트,"서울특별시 중랑구 망우동 583, 103동 11층1101호 (망우동,중랑숲리가아파트)",84.956㎡ (25.7평),57.684㎡ (17.45평),"625,000,000","625,000,000","711,000,000",2021-04-26(10:00),매각,100%,114%,
서울남부8계,2020-4192,아파트,"서울특별시 양천구 신월동 1001-5, 2층203호 (신월동,보금자리아파트)",52.26㎡ (15.81평),15.9㎡ (4.81평),"190,000,000","121,600,000","155,900,000",2021-04-21(10:00),매각,64%,82%,
서울남부11계,2020-6792,아파트,"서울특별시 구로구 구로동 792-103, 제1층 제101호",31.41㎡ (9.5평),10.86㎡ (3.29평),"107,000,000","107,000,000","168,100,000",2021-04-21(10:00),매각,100%,157%,"공유물분할경매,유치권"
서울남부8계,2020-105736,아파트,"서울특별시 양천구 신정동 1278, 104동 22층 2201호 (신정동,목동삼성아파트)",84.77㎡ (25.64평),34.68㎡ (10.49평),"1,090,000,000","1,090,000,000","1,231,900,000",2021-04-21(10:00),매각,100%,113%,
서울서부3계,2020-52015,아파트,"서울특별시 서대문구 대현동 101-7, 16층1605호",98.89㎡ (29.91평),,"472,000,000","472,000,000","611,000,000",2021-04-20(10:00),매각,100%,129%,대지권미등기
서울동부4계,2020-1015,아파트,"서울특별시 광진구 자양동 813, 101동 11층1102호 (자양동,광진하우스토리한강)",143.36㎡ (43.37평),71.0782㎡ (21.5평),"1,390,000,000","1,390,000,000","1,828,000,000",2021-04-19(10:00),매각,100%,132%,
서울동부4계,2020-1756,아파트,"서울특별시 송파구 장지동 849, 308동 3층301호 (장지동,송파파인타운3단지)",84.93㎡ (25.69평),45.426㎡ (13.74평),"1,030,000,000","1,030,000,000","1,301,510,000",2021-04-19(10:00),매각,100%,126%,공유물분할경매
서울북부1계,2020-2502,아파트,"서울특별시 성북구 정릉동 402-117, 3층302호",46.78㎡ (14.15평),20.78㎡ (6.29평),"151,000,000","96,640,000","125,330,000",2021-04-19(10:00),매각,64%,83%,
서울북부2계,2020-5228,아파트,"서울특별시 도봉구 도봉동 30-1, 117동 3층303호 (도봉동,도봉한신아파트)",84.94㎡ (25.69평),34.047㎡ (10.3평),"534,000,000","534,000,000","601,199,990",2021-04-19(10:00),매각,100%,113%,
서울동부4계,2020-53214,아파트,"서울특별시 강동구 암사동 501-4, 6층603호 (암사동,암사동양덱스빌)",84.68㎡ (25.62평),20.77㎡ (6.28평),"592,000,000","592,000,000","610,000,000",2021-04-19(10:00),매각,100%,103%,
서울북부2계,2020-107360,아파트,"서울특별시 노원구 공릉동 106, 309동 9층 902호 (공릉동,공릉해링턴플레이스)",134.914㎡ (40.81평),64.717㎡ (19.58평),"902,000,000","902,000,000","950,000,000",2021-04-19(10:00),매각,100%,105%,
서울중앙1계,2020-2732,아파트,"서울특별시 동작구 신대방동 565, 10동 3층 302호 (신대방동,우성아파트)",78.54㎡ (23.76평),40.7㎡ (12.31평),"626,000,000","626,000,000","632,777,000",2021-04-13(10:00),매각,100%,101%,토지및건물 지분매각
서울중앙1계,2020-105419,아파트,"서울특별시 강남구 도곡동 970, 104동 5층503호 (도곡동,도곡3차아이파크)",187.215㎡ (56.63평),106.244㎡ (32.14평),"2,625,000,000","2,100,000,000","2,330,000,000",2021-04-13(10:00),매각,80%,89%,대항력있는임차인
서울동부1계,2020-3141,아파트,"서울특별시 광진구 자양동 783-1, 701동 6층613호 (자양동,자양7차우성아파트)",59.94㎡ (18.13평),21.94㎡ (6.64평),"944,000,000","944,000,000","1,059,999,999",2021-04-12(10:00),매각,100%,112%,
서울북부8계,2020-4287,아파트,"서울특별시 성북구 길음동 1282, 508동 14층1402호 (길음동,길음뉴타운)",59.75㎡ (18.07평),33.2508㎡ (10.06평),"800,000,000","800,000,000","823,888,888",2021-04-12(10:00),매각,100%,103%,
서울북부5계,2020-100291,아파트,"서울특별시 동대문구 장안동 365-5, 6층601호 (장안동,서희스타힐스)",70.84㎡ (21.43평),,"460,000,000","368,000,000","435,600,000",2021-04-12(10:00),매각,80%,95%,
서울북부8계,2020-105234,아파트,"서울특별시 노원구 상계동 766-1, 101동 15층1511호 (상계동,미도아파트)",87.57㎡ (26.49평),46.78㎡ (14.15평),"697,000,000","697,000,000","755,510,000",2021-04-12(10:00),매각,100%,108%,대항력있는임차인
서울북부9계,2020-105449,아파트,"서울특별시 성북구 동선동1가 121-6, 7층101-704호 (동선동1가,코아루센타시아)",113.05㎡ (34.2평),25.26㎡ (7.64평),"582,000,000","582,000,000","704,000,000",2021-04-12(10:00),매각,100%,121%,
서울북부8계,2020-106121,아파트,"서울특별시 노원구 상계동 666, 1002동 14층1406호 (상계동,상계주공아파트)",61.52㎡ (18.61평),47.88㎡ (14.48평),"573,000,000","573,000,000","711,110,000",2021-04-12(10:00),매각,100%,124%,
서울중앙4계,2020-2763,아파트,"서울특별시 강남구 대치동 962-20, 1층102호 (대치동,대치주성아파트)",67.13㎡ (20.31평),27.04㎡ (8.18평),"1,070,000,000","1,070,000,000","1,282,500,000",2021-04-07(10:00),매각,100%,120%,
서울남부5계,2020-5898,아파트,"서울특별시 구로구 구로동 1280, 제104동 제17층 제1701호 (구로동,한신휴플러스아파트)",58.03㎡ (17.55평),28.5248㎡ (8.63평),"668,000,000","668,000,000","732,600,000",2021-04-07(10:00),매각,100%,110%,대항력있는임차인
서울중앙4계,2020-104911,아파트,"서울특별시 중구 신당동 844, 제19동 제203호",84.88㎡ (25.68평),46.111㎡ (13.95평),"1,020,000,000","1,020,000,000","1,110,820,000",2021-04-07(10:00),매각,100%,109%,
