office,num,case_year,cat,addr,load_addr,dong,bunji,detail_dong,detail_ho,floor,brand,build_area,land_area,price,lowest,hammer,date,year,month,day,status,low_per,ham_per,comment
서울서부1계,2020-2232,2020,아파트,"서울특별시 서대문구 홍제동 247-19, 제지하층",,서울특별시 서대문구 홍제동,247-19,,,,제,200.99,84.26,862000000,441344000,,2021-08-17,2021,8,17,유찰3회,51,,"대항력있는임차인,재매각"
서울북부2계,2020-104552,2020,아파트,"서울특별시 도봉구 쌍문동 711, 8층811호 (쌍문동,도봉금강아미움파크타운)",,서울특별시 도봉구 쌍문동,711,,811호,8.0,도봉금강아미움파크타운,68.2097,21.502,391000000,312800000,,2021-08-17,2021,8,17,유찰1회,80,,대항력있는임차인
서울남부5계,2020-6358,2020,아파트,"서울특별시 강서구 화곡동 1141, 제2층 제205호",,서울특별시 강서구 화곡동,1141,,205호,2.0,제제,37.08,17.904,202500000,202500000,,2021-08-18,2021,8,18,유찰,100,,토지및건물 지분매각
서울남부5계,2020-5478,2020,아파트,"서울특별시 영등포구 영등포동4가 117-7, 제7층 제705호 (영등포동4가,스퀘어뷰)",,서울특별시 영등포구 영등포동4가,117-7,,705호,7.0,스퀘어뷰,14.4,5.728,163000000,104320000,,2021-08-18,2021,8,18,유찰2회,64,,
서울남부5계,2020-6334,2020,아파트,"서울특별시 구로구 구로동 106-10, 제5층 제509호 (구로동,순영웰라이빌1차)",,서울특별시 구로구 구로동,106-10,,509호,5.0,순영웰라이빌1차,32.725,6.587999999999999,130000000,104000000,,2021-08-18,2021,8,18,유찰1회,80,,
서울남부9계,2020-113218,2020,아파트,"서울특별시 금천구 시흥동 1006, 제103동 제13층 제1302호 (시흥동, 벽산타운3단지)",,서울특별시 금천구 시흥동,1006,제103동,1302호,13.0,벽산타운3단지,59.94,27.72,400000000,320000000,,2021-08-18,2021,8,18,유찰1회,80,,
서울서부7계,2019-55278,2019,아파트,"서울특별시 서대문구 연희동 194-30, 3층비315호 (연희동,브라운스톤 연희)",,서울특별시 서대문구 연희동,194-30,,비315호,3.0,브라운스톤연희,16.93,7.361000000000001,192000000,25770000,,2021-08-24,2021,8,24,유찰9회,13,,대항력있는임차인
서울남부1계,2020-111298,2020,아파트,"서울특별시 강서구 화곡동 1050-8, 제3층 제304호 (화곡동, 삼호파크빌)",,서울특별시 강서구 화곡동,1050-8,,304호,3.0,삼파크빌,46.32,27.44,290000000,232000000,,2021-08-24,2021,8,24,유찰1회,80,,
서울남부11계,2018-107678,2018,아파트,"서울특별시 강서구 화곡동 938-26, 6층602호 (화곡동,한경빌)",,서울특별시 강서구 화곡동,938-26,,602호,6.0,한경빌,11.21,3.31,61000000,39040000,,2021-08-25,2021,8,25,유찰2회,64,,토지및건물 지분매각
서울남부11계,2020-112383,2020,아파트,"서울특별시 구로구 고척동 335, 제101동 제3층 제301호 (고척동, 예주유니츠아파트)",,서울특별시 구로구 고척동,335,제101동,301호,3.0,예주유니츠아파트,39.15,19.58,226000000,180800000,,2021-08-25,2021,8,25,유찰1회,80,,토지및건물 지분매각
서울남부3계,2020-6600,2020,아파트,"서울특별시 강서구 가양동 1474, 제101동 제4층 제404호 (가양동,경동아파트)",,서울특별시 강서구 가양동,1474,제101동,404호,4.0,1474제제가양동아파트,131.4,63.73,1070000000,1070000000,,2021-09-01,2021,9,1,유찰,100,,
서울남부4계,2020-6488,2020,아파트,"서울특별시 강서구 화곡동 924-15, 제11층 제1102호 (화곡동,세교예지안6차)",,서울특별시 강서구 화곡동,924-15,,1102호,11.0,세교예지안6차,25.7,7.3,181000000,144800000,,2021-09-01,2021,9,1,유찰1회,80,,대항력있는임차인
서울남부3계,2020-102300,2020,아파트,"서울특별시 강서구 화곡동 351-24, 101동 4층 401호 (화곡동,푸른풍경채)",,서울특별시 강서구 화곡동,351-24,101동,401호,4.0,푸른풍경채,29.51,19.4,261000000,208800000,,2021-09-01,2021,9,1,유찰4회,80,,대항력있는임차인
서울남부4계,2020-105132,2020,아파트,"서울특별시 금천구 시흥동 801-3, 4층 402호 (시흥동,가온빌리지)",,서울특별시 금천구 시흥동,801-3,,402호,4.0,가온빌리지,29.74,18.6,178000000,91136000,,2021-09-01,2021,9,1,유찰3회,51,,"대항력있는임차인,형식적경매"
서울남부3계,2020-5706,2020,아파트,"서울특별시 양천구 신월동 98-9, 제2층 제202호 (신월동,하나하이츠)",,서울특별시 양천구 신월동,98-9,0,202호,2.0,하나하이츠,53.58,30.72,212000000,135680000,188100000.0,2021-07-21,2021,7,21,매각,64,89.0,
서울남부4계,2020-110424,2020,아파트,"서울특별시 영등포구 영등포동1가 75-4, 제9층 제902호 (영등포동1가, 메트로가든)",,서울특별시 영등포구 영등포동1가,75-4,0,902호,9.0,메트로가든,12.97,5.22,143000000,114400000,120660000.0,2021-07-14,2021,7,14,매각,80,84.0,선순위전세권
서울서부1계,2020-3808,2020,아파트,"서울특별시 마포구 서교동 490, 아파트동 14층101동1406호 (서교동,메세나폴리스)",,서울특별시 마포구 서교동,490,아파트동,1406호,14.0,메세나폴리스,142.034,26.39,1733000000,1733000000,1869999999.0,2021-07-13,2021,7,13,매각,100,108.0,법정지상권
서울중앙2계,2020-1845,2020,아파트,"서울특별시 강남구 청담동 69-18, 101동 12층1203호 (청담동,청담동양파라곤)",,서울특별시 강남구 청담동,69-18,101동,1203호,12.0,69-18청담동양파라곤,171.1005,87.666,3440000000,3440000000,3953999000.0,2021-07-08,2021,7,8,매각,100,115.0,
서울중앙2계,2020-101356,2020,아파트,"서울특별시 서초구 반포동 88-4, 2층 202호 (반포동,서래아르드빌)",,서울특별시 서초구 반포동,88-4,0,202호,2.0,서래아르드빌,200.4,86.73,1860000000,1190400000,1595000000.0,2021-07-08,2021,7,8,매각,64,86.0,
서울서부6계,2020-3426,2020,아파트,"서울특별시 마포구 망원동 412-19, 5층501호 (망원동,뉴서울아파트)",,서울특별시 마포구 망원동,412-19,0,501호,5.0,뉴서울아파트,53.01,25.43,340000000,340000000,430100000.0,2021-07-06,2021,7,6,매각,100,127.0,
서울서부3계,2020-3471,2020,아파트,"서울특별시 용산구 이촌동 300-10, 8층802호",,서울특별시 용산구 이촌동,300-10,0,802호,8.0,,177.62,33.058,1620000000,1620000000,1700000000.0,2021-07-06,2021,7,6,매각,100,105.0,
서울북부3계,2020-4324,2020,아파트,"서울특별시 강북구 수유동 733, 9층917호 (수유동,하이시티)",,서울특별시 강북구 수유동,733,0,917호,9.0,하이시티,12.19,3.09,110000000,70400000,91336000.0,2021-07-05,2021,7,5,매각,64,83.0,
서울북부3계,2020-5662,2020,아파트,"서울특별시 중랑구 망우동 579, 101동 1층102호 (망우동,한울네세창아파트)",,서울특별시 중랑구 망우동,579,101동,102호,1.0,한울네세창아파트,84.76,51.05,344000000,344000000,420000001.0,2021-07-05,2021,7,5,매각,100,122.0,
서울북부4계,2020-107247,2020,아파트,"서울특별시 노원구 월계동 939, 104동 4층 405호 (월계동,월계흥화브라운빌)",,서울특별시 노원구 월계동,939,104동,405호,4.0,월계흥화브라운빌,29.9,14.18,215000000,215000000,249000100.0,2021-07-05,2021,7,5,매각,100,116.0,토지및건물 지분매각
서울동부4계,2014-10360,2014,아파트,"서울특별시 강동구 성내동 598, 103동 4층 401호 (성내동,성내1차이편한세상)",,서울특별시 강동구 성내동,598,103동,401호,4.0,성내1차이편한세상,84.18,47.08,450000000,450000000,1037200000.0,2021-06-28,2021,6,28,매각,100,230.0,
서울북부1계,2019-110452,2019,아파트,"서울특별시 강북구 미아동 8-87, 7층701호 (미아동,스카이빌)",,서울특별시 강북구 미아동,8-87,0,701호,7.0,스카이빌,163.91,45.52,403000000,403000000,603000000.0,2021-06-28,2021,6,28,매각,100,150.0,
서울동부4계,2020-1817,2020,아파트,"서울특별시 광진구 자양동 784-1, 103동 8층802호 (자양동,대동아파트)",,서울특별시 광진구 자양동,784-1,103동,802호,8.0,784-1자양동아파트,84.65,30.72,935000000,935000000,1297999990.0,2021-06-28,2021,6,28,매각,100,139.0,
서울북부1계,2020-5495,2020,아파트,"서울특별시 성북구 정릉동 1024, 101동 8층805호 (정릉동,피오레아파트)",,서울특별시 성북구 정릉동,1024,101동,805호,8.0,피오레아파트,47.3,21.7,272000000,217600000,302500000.0,2021-06-28,2021,6,28,매각,80,111.0,토지및건물 지분매각
서울북부2계,2020-7194,2020,아파트,"서울특별시 성북구 종암동 3-91, 12층1308호 (종암동,노블레스타워 노인복지주택)",,서울특별시 성북구 종암동,3-91,0,1308호,12.0,노블레스타워노인복지주택,74.01,31.98,570000000,570000000,581110000.0,2021-06-28,2021,6,28,매각,100,102.0,
서울남부9계,2019-4325,2019,아파트,"서울특별시 구로구 신도림동 290, 5동 3층309호 (신도림동,미성아파트)",,서울특별시 구로구 신도림동,290,5동,309호,3.0,미성아파트,66.03,35.7,422000000,422000000,851770000.0,2021-06-22,2021,6,22,매각,100,202.0,
서울중앙1계,2020-4585,2020,아파트,"서울특별시 관악구 봉천동 1727, 101동 3층307호 (봉천동,관악 한일 유앤아이)",,서울특별시 관악구 봉천동,1727,101동,307호,3.0,관악한일유앤아이,84.866,51.2281,730000000,730000000,803700000.0,2021-06-22,2021,6,22,매각,100,110.0,대항력있는임차인
서울중앙1계,2020-106887,2020,아파트,"서울특별시 강남구 일원동 718, 101동 5층502호 (일원동,샘터마을아파트)",,서울특별시 강남구 일원동,718,101동,502호,5.0,샘터마을아파트,6.72,29.29,1010000000,1010000000,1010000000.0,2021-06-22,2021,6,22,매각,100,100.0,토지및건물 지분매각
서울남부9계,2020-111120,2020,아파트,"서울특별시 양천구 목동 954, 제102동 제6층 제605호 (목동, 목동웨스트빌아파트)",,서울특별시 양천구 목동,954,제102동,605호,6.0,954제제목동웨스트빌아파트,77.34899999999999,38.437,566000000,566000000,731000000.0,2021-06-22,2021,6,22,매각,100,129.0,대항력있는임차인
서울북부8계,2019-3240,2019,아파트,"서울특별시 동대문구 장안동 378-3, 4층402호 (장안동,공감대아파트)",,서울특별시 동대문구 장안동,378-3,0,402호,4.0,공감대아파트,109.1,51.6416,460000000,460000000,560000000.0,2021-06-21,2021,6,21,매각,100,122.0,
서울동부1계,2020-4564,2020,아파트,"서울특별시 송파구 신천동 17, 117동 2층201호 (신천동,파크리오)",,서울특별시 송파구 신천동,17,117동,201호,2.0,파크리오,121.63,55.28,2042000000,2042000000,2503000000.0,2021-06-21,2021,6,21,매각,100,123.0,공유물분할경매
서울북부9계,2020-5068,2020,아파트,"서울특별시 성북구 돈암동 609-1, 210동 4층402호 (돈암동,한진아파트)",,서울특별시 성북구 돈암동,609-1,210동,402호,4.0,한진아파트,84.87,35.36,710000000,710000000,787920000.0,2021-06-21,2021,6,21,매각,100,111.0,
서울북부8계,2020-5129,2020,아파트,"서울특별시 중랑구 신내동 317, 103동 14층1406호 (신내동,데시앙)",,서울특별시 중랑구 신내동,317,103동,1406호,14.0,데시앙,23.37,6.711,68000000,68000000,80888800.0,2021-06-21,2021,6,21,매각,100,119.0,형식적경매
서울동부1계,2020-50925,2020,아파트,"서울특별시 강동구 명일동 44, 6동 13층1301호 (명일동,신동아아파트)",,서울특별시 강동구 명일동,44,6동,1301호,13.0,44명일동아아파트,127.33,75.81,1800000000,1440000000,1765800000.0,2021-06-21,2021,6,21,매각,80,98.0,
서울북부9계,2020-104880,2020,아파트,"서울특별시 성북구 정릉동 435, 201동 8층801호 (정릉동,중앙하이츠빌2단지)",,서울특별시 성북구 정릉동,435,201동,801호,8.0,중앙하이츠빌2단지,84.6824,40.6947,690000000,441600000,716923000.0,2021-06-21,2021,6,21,매각,64,104.0,
서울북부9계,2020-107216,2020,아파트,"서울특별시 노원구 월계동 448-3, 다동 401호",,서울특별시 노원구 월계동,448-3,다동,401호,,448-3,22.24,11.69,116000000,116000000,143888800.0,2021-06-21,2021,6,21,매각,100,124.0,대항력있는임차인
서울남부5계,2020-109264,2020,아파트,"서울특별시 강서구 화곡동 1160, 제7층 제705호 (화곡동,상진지오벨리아파트)",,서울특별시 강서구 화곡동,1160,0,705호,7.0,상진지오벨리아파트,64.78,39.3222,300000000,300000000,379000000.0,2021-06-17,2021,6,17,매각,100,126.0,대항력있는임차인
서울중앙4계,2019-109354,2019,아파트,"서울특별시 강남구 도곡동 527, 403동 1층 103호 (도곡동,도곡렉슬아파트)",,서울특별시 강남구 도곡동,527,403동,103호,1.0,도곡렉슬아파트,119.8906,55.1442,2235000000,2235000000,2948999000.0,2021-06-16,2021,6,16,매각,100,132.0,법정지상권
서울중앙4계,2020-104492,2020,아파트,"서울특별시 서초구 방배동 881-26, 201동 12층1204호 (방배동,방배2차이-편한세상)",,서울특별시 서초구 방배동,881-26,201동,1204호,12.0,방배2차이-편한세상,81.68,31.3,935000000,935000000,941111000.0,2021-06-16,2021,6,16,매각,100,101.0,토지및건물 지분매각
서울남부8계,2020-108865,2020,아파트,"서울특별시 강서구 화곡동 353-50, 제5층 제502호",,서울특별시 강서구 화곡동,353-50,0,502호,5.0,제제,33.74,18.76,150000000,120000000,140133000.0,2021-06-16,2021,6,16,매각,80,93.0,대항력있는임차인
서울중앙3계,2020-3049,2020,아파트,"서울특별시 강남구 대치동 511, 106동 6층607호 (대치동,한보미도맨션)",,서울특별시 강남구 대치동,511,106동,607호,6.0,한보미도맨션,141.32,78.25,2930000000,2930000000,3661227000.0,2021-06-15,2021,6,15,매각,100,125.0,
서울서부7계,2020-4276,2020,아파트,"서울특별시 서대문구 홍제동 454, 103동 1층106호 (홍제동,유원하나아파트)",,서울특별시 서대문구 홍제동,454,103동,106호,1.0,유원하나아파트,72.34,33.99,425000000,425000000,501150000.0,2021-06-15,2021,6,15,매각,100,118.0,형식적경매
서울서부5계,2020-56772,2020,아파트,"서울특별시 서대문구 홍제동 461, 106동 11층 1101호 (홍제동,홍제삼성래미안아파트)",,서울특별시 서대문구 홍제동,461,106동,1101호,11.0,홍제삼성래미안아파트,32.76,17.31,508000000,508000000,541050000.0,2021-06-15,2021,6,15,매각,100,107.0,
서울서부5계,2020-57188,2020,아파트,"서울특별시 서대문구 홍제동 455, 제102동 제6층 제604호",,서울특별시 서대문구 홍제동,455,제102동,604호,6.0,455제제,84.96,36.41,690000000,690000000,732120000.0,2021-06-15,2021,6,15,매각,100,106.0,
서울동부5계,2020-2179,2020,아파트,"서울특별시 송파구 가락동 95-1, 106동 15층1501호 (가락동,가락금호아파트)",,서울특별시 송파구 가락동,95-1,106동,1501호,15.0,가락금아파트,59.91,17.886,1025000000,1025000000,,2021-06-14,2021,6,14,배당종결,100,,
서울동부5계,2020-3585,2020,아파트,"서울특별시 송파구 문정동 1, 125동 14층1403호 (문정동,문정래미안아파트)",,서울특별시 송파구 문정동,1,125동,1403호,14.0,문정래미안아파트,120.97,49.68,1450000000,1450000000,1791000000.0,2021-06-14,2021,6,14,매각,100,124.0,
서울동부5계,2020-54347,2020,아파트,"서울특별시 강동구 성내동 542, 2층202호 (성내동,노블네스트)",,서울특별시 강동구 성내동,542,0,202호,2.0,노블네스트,101.32,37.84,700000000,700000000,720000000.0,2021-06-14,2021,6,14,매각,100,103.0,
서울동부5계,2020-55111,2020,아파트,"서울특별시 광진구 자양동 642, 501동 14층1401호 (자양동,자양5차현대아파트)",,서울특별시 광진구 자양동,642,501동,1401호,14.0,자양5차현대아파트,38.47,12.11,484500000,484500000,540990000.0,2021-06-14,2021,6,14,매각,100,112.0,토지및건물 지분매각
서울동부5계,2020-55173,2020,아파트,"서울특별시 송파구 가락동 95-1, 103동 20층2004호 (가락동,가락금호아파트)",,서울특별시 송파구 가락동,95-1,103동,2004호,20.0,가락금아파트,85.0,25.375999999999998,1390000000,1390000000,1481000000.0,2021-06-14,2021,6,14,매각,100,107.0,
서울남부3계,2020-5911,2020,아파트,"서울특별시 영등포구 당산동 121-108, 제6층 제606호 (당산동,훼미리하우스138)",,서울특별시 영등포구 당산동,121-108,0,606호,6.0,훼미리하우스138,14.28,4.774,136000000,108800000,121808000.0,2021-06-10,2021,6,10,매각,80,90.0,
서울서부6계,2019-56455,2019,아파트,"서울특별시 용산구 이촌동 435, 6층603호 (이촌동,보람 더하임)",,서울특별시 용산구 이촌동,435,0,603호,6.0,보람더하임,84.5839,49.467,1385000000,1385000000,1385116000.0,2021-06-01,2021,6,1,매각,100,100.0,"공유물분할경매,대항력있는임차인"
서울서부3계,2020-1727,2020,아파트,"서울특별시 마포구 대흥동 660, 111동 20층2001호 (대흥동,마포태영아파트)",,서울특별시 마포구 대흥동,660,111동,2001호,20.0,마포태영아파트,114.93,36.54,1570000000,1570000000,1703000000.0,2021-06-01,2021,6,1,매각,100,108.0,
서울서부3계,2020-54073,2020,아파트,"서울특별시 은평구 신사동 297, 제102동 제6층 제606호 (신사동,씨티아파트)",,서울특별시 은평구 신사동,297,제102동,606호,6.0,씨티아파트,58.09,18.0246,356000000,356000000,480000000.0,2021-06-01,2021,6,1,매각,100,135.0,
서울북부3계,2020-105951,2020,아파트,"서울특별시 노원구 상계동 1318, 101동 6층604호 (상계동,노원아이파크)",,서울특별시 노원구 상계동,1318,101동,604호,6.0,노원아이파크,139.28,41.74,703000000,449920000,783000000.0,2021-05-31,2021,5,31,매각,64,111.0,대항력있는임차인
서울북부3계,2020-106305,2020,아파트,"서울특별시 성북구 석관동 110-2, 1동 2층201호 (석관동,중앙하이츠아파트)",,서울특별시 성북구 석관동,110-2,1동,201호,2.0,중앙하이츠아파트,42.43,15.65,269000000,172160000,281100000.0,2021-05-31,2021,5,31,매각,64,104.0,토지및건물 지분매각
서울북부3계,2020-107230,2020,아파트,"서울특별시 강북구 미아동 1354, 106동 1층 101호 (미아동,벽산라이브파크아파트)",,서울특별시 강북구 미아동,1354,106동,101호,1.0,벽산라이브파크아파트,84.89,43.31,567000000,567000000,625380000.0,2021-05-31,2021,5,31,매각,100,110.0,
서울북부3계,2020-108356,2020,아파트,"서울특별시 성북구 하월곡동 226, 108동 8층804호 (하월곡동,월곡래미안루나밸리)",,서울특별시 성북구 하월곡동,226,108동,804호,8.0,월곡래미안루나밸리,84.88,43.4439,890000000,890000000,998980000.0,2021-05-31,2021,5,31,매각,100,112.0,
서울북부4계,2020-109472,2020,아파트,"서울특별시 중랑구 면목동 1502, 104동 1층105호 (면목동,면목현대아파트)",,서울특별시 중랑구 면목동,1502,104동,105호,1.0,면목현대아파트,72.63,29.22,549000000,549000000,592950000.0,2021-05-31,2021,5,31,매각,100,108.0,
서울북부2계,2020-5501,2020,아파트,"서울특별시 중랑구 면목동 1510, 201동 17층1704호 (면목동,면목두산아파트)",,서울특별시 중랑구 면목동,1510,201동,1704호,17.0,면목두산아파트,134.2,36.598,769000000,769000000,889999990.0,2021-05-24,2021,5,24,매각,100,116.0,
서울중앙1계,2020-1838,2020,아파트,"서울특별시 관악구 봉천동 464-41, 2층201호",,서울특별시 관악구 봉천동,464-41,0,201호,2.0,,147.4,50.67,615000000,615000000,651110000.0,2021-05-18,2021,5,18,매각,100,106.0,대항력있는임차인
서울중앙1계,2020-3377,2020,아파트,"서울특별시 관악구 신림동 1433-55, 11층1103호 (신림동,프라비다트라움)",,서울특별시 관악구 신림동,1433-55,0,1103호,11.0,프라비다트라움,14.06,4.492,125000000,100000000,124000000.0,2021-05-18,2021,5,18,매각,80,99.0,
서울중앙1계,2020-104454,2020,아파트,"서울특별시 종로구 평창동 66-1, 3층 304호 (평창동,엘리시아)",,서울특별시 종로구 평창동,66-1,0,304호,3.0,엘리시아,236.07,135.86,1327000000,1061600000,1233300000.0,2021-05-18,2021,5,18,매각,80,93.0,
서울북부5계,2019-5963,2019,아파트,"서울특별시 동대문구 용두동 794, 102동 8층804호 (용두동,용두롯데캐슬리치)",,서울특별시 동대문구 용두동,794,102동,804호,8.0,용두롯데캐슬리치,59.9858,36.58,745000000,745000000,961060000.0,2021-05-17,2021,5,17,매각,100,129.0,대항력있는임차인
서울북부5계,2020-4690,2020,아파트,"서울특별시 성북구 안암동1가 361, 112동 8층801호 (안암동1가,래미안안암)",,서울특별시 성북구 안암동1가,361,112동,801호,8.0,래미안안암,114.926,71.388,860000000,860000000,974270000.0,2021-05-17,2021,5,17,매각,100,113.0,대항력있는임차인
서울북부8계,2020-105456,2020,아파트,"서울특별시 성북구 하월곡동 228, 108동 2층202호 (하월곡동,꿈의숲 푸르지오)",,서울특별시 성북구 하월곡동,228,108동,202호,2.0,꿈의숲푸르지오,59.65,39.9951,595000000,595000000,735790000.0,2021-05-17,2021,5,17,매각,100,124.0,
서울북부9계,2020-106145,2020,아파트,"서울특별시 중랑구 면목동 1543, 108동 3층303호 (면목동,한양수자인사가정파크)",,서울특별시 중랑구 면목동,1543,108동,303호,3.0,한양수자인사가정파크,13.32,7.55,143000000,143000000,157888880.0,2021-05-17,2021,5,17,매각,100,110.0,토지및건물 지분매각
서울북부8계,2020-107049,2020,아파트,"서울특별시 중랑구 신내동 479, 3동 15층 1502호 (신내동,중앙하이츠아파트)",,서울특별시 중랑구 신내동,479,3동,1502호,15.0,중앙하이츠아파트,84.97,38.01,569000000,569000000,606100000.0,2021-05-17,2021,5,17,매각,100,107.0,선순위전세권
서울북부8계,2020-107407,2020,아파트,"서울특별시 노원구 상계동 135, 4동 4층 402호 (상계동,한신아파트)",,서울특별시 노원구 상계동,135,4동,402호,4.0,한신아파트,45.44,29.86,261000000,261000000,415999999.0,2021-05-17,2021,5,17,매각,100,159.0,
서울북부8계,2020-108035,2020,아파트,"서울특별시 노원구 하계동 274, 708동 4층 409호 (하계동,청솔아파트)",,서울특별시 노원구 하계동,274,708동,409호,4.0,청솔아파트,49.5,31.74,510000000,510000000,564970000.0,2021-05-17,2021,5,17,매각,100,111.0,대항력있는임차인
서울남부5계,2020-6143,2020,아파트,"서울특별시 구로구 구로동 1263, 제110동 제14층 제1402호 (구로동,신도림롯데아파트)",,서울특별시 구로구 구로동,1263,제110동,1402호,14.0,신도림롯데아파트,131.3,60.3014,940000000,940000000,1188990000.0,2021-05-13,2021,5,13,매각,100,126.0,
서울서부7계,2016-52087,2016,아파트,"서울특별시 마포구 아현동 371-1, 6층607호 (아현동,예미원아파트)",,서울특별시 마포구 아현동,371-1,0,607호,6.0,예미원아파트,71.83,20.93,804000000,411648000,670099999.0,2021-05-11,2021,5,11,매각,51,83.0,"대항력있는임차인,임금채권"
서울서부5계,2019-6504,2019,아파트,"서울특별시 서대문구 홍제동 283-36, 101동 12층 1201호 (홍제동,마체스터 아파트)",,서울특별시 서대문구 홍제동,283-36,101동,1201호,12.0,마체스터아파트,140.51,89.55,568000000,568000000,753009001.0,2021-05-11,2021,5,11,매각,100,133.0,
서울중앙3계,2020-103192,2020,아파트,"서울특별시 관악구 봉천동 1698-1, 107동 9층 905호 (봉천동,보라매삼성아파트)",,서울특별시 관악구 봉천동,1698-1,107동,905호,9.0,보라매삼성아파트,84.84,33.18,747000000,747000000,800000000.0,2021-05-11,2021,5,11,매각,100,107.0,대항력있는임차인
서울동부5계,2020-2414,2020,아파트,"서울특별시 성동구 상왕십리동 12-47, 17층1701호 (상왕십리동,청계센트럴큐브)",,서울특별시 성동구 상왕십리동,12-47,0,1701호,17.0,청계센트럴큐브,24.76,6.0785,320000000,256000000,310600000.0,2021-05-10,2021,5,10,매각,80,97.0,
서울동부5계,2020-53900,2020,아파트,"서울특별시 강동구 고덕동 693, 122동 9층903호 (고덕동,고덕그라시움)",,서울특별시 강동구 고덕동,693,122동,903호,9.0,고덕그라시움,59.508,33.0063,1290000000,1032000000,1362511001.0,2021-05-10,2021,5,10,매각,80,106.0,
