office,num,case_year,cat,addr,load_addr,dong,bunji,detail_dong,detail_ho,floor,brand,build_area,land_area,price,lowest,hammer,date,year,month,day,status,low_per,ham_per,comment,floor_cat,build_area_grade,land,date_ym,result,comment_val,gu,dong0
서울중앙2계,2019-5681,2019,아파트,서울특별시 중구 묵정동  11-2,,묵정동,11-2,,,3.0,11-2,67.77,40.48,392000000,392000000,,2021-08-12,2021,8,12,신건,100,,대지권미등기,지하~3층,중형,1,202108,0,1,중구,서울특별시 중구 묵정동
서울중앙2계,2020-2695,2020,아파트,"서울특별시 서초구 반포동 18-1, 128동 26층2602호 (반포동,래미안퍼스티지)",,반포동,18-1,128동,2602호,26.0,래미안퍼스티지,84.93,42.3503,2850000000,2850000000,,2021-08-12,2021,8,12,신건,100,,,21층 이상,중형,1,202108,0,0,서초구,서울특별시 서초구 반포동
서울중앙2계,2020-105013,2020,아파트,서울특별시 관악구 남현동  1134 예성2차그린캐슬아파트 10층1005호,,남현동,1134,,1005호,10.0,1134예성2차그린캐슬아파트,84.17,,305000000,305000000,,2021-08-12,2021,8,12,신건,100,,건물만매각,8~12층,중형,0,202108,0,1,관악구,서울특별시 관악구 남현동
서울북부1계,2018-12551,2018,아파트,"서울특별시 중랑구 면목동 1527, 101동 12층1204호 (면목동,면목동신성미소지움아파트)",,면목동,1527,101동,1204호,12.0,1527면목동신성미소지움아파트,80.1913,29.927,470000000,376000000,,2021-08-17,2021,8,17,유찰1회,80,,,8~12층,중형,1,202108,0,0,중랑구,서울특별시 중랑구 면목동
서울서부1계,2020-2232,2020,아파트,"서울특별시 서대문구 홍제동 247-19, 제지하층",,홍제동,247-19,,,-1.0,제,200.99,84.26,862000000,441344000,,2021-08-17,2021,8,17,유찰3회,51,,"대항력있는임차인,재매각",,초대형,1,202108,0,1,서대문구,서울특별시 서대문구 홍제동
서울북부2계,2020-104552,2020,아파트,"서울특별시 도봉구 쌍문동 711, 8층811호 (쌍문동,도봉금강아미움파크타운)",,쌍문동,711,,811호,8.0,도봉금강아미움파크타운,68.2097,21.502,391000000,312800000,,2021-08-17,2021,8,17,유찰1회,80,,대항력있는임차인,8~12층,중형,1,202108,0,1,도봉구,서울특별시 도봉구 쌍문동
서울남부5계,2020-6358,2020,아파트,"서울특별시 강서구 화곡동 1141, 제2층 제205호",,화곡동,1141,,205호,2.0,제제,37.08,17.904,202500000,202500000,,2021-08-18,2021,8,18,유찰,100,,토지및건물 지분매각,지하~3층,소형,1,202108,0,1,강서구,서울특별시 강서구 화곡동
서울남부5계,2020-5478,2020,아파트,"서울특별시 영등포구 영등포동4가 117-7, 제7층 제705호 (영등포동4가,스퀘어뷰)",,영등포동4가,117-7,,705호,7.0,스퀘어뷰,14.4,5.728,163000000,104320000,,2021-08-18,2021,8,18,유찰2회,64,,,4~7층,소형,1,202108,0,0,영등포구,서울특별시 영등포구 영등포동4가
서울남부5계,2020-6334,2020,아파트,"서울특별시 구로구 구로동 106-10, 제5층 제509호 (구로동,순영웰라이빌1차)",,구로동,106-10,,509호,5.0,순영웰라이빌1차,32.725,6.587999999999999,130000000,104000000,,2021-08-18,2021,8,18,유찰1회,80,,,4~7층,소형,1,202108,0,0,구로구,서울특별시 구로구 구로동
서울남부9계,2020-113218,2020,아파트,"서울특별시 금천구 시흥동 1006, 제103동 제13층 제1302호 (시흥동, 벽산타운3단지)",,시흥동,1006,제103동,1302호,13.0,벽산타운3단지,59.94,27.72,400000000,320000000,,2021-08-18,2021,8,18,유찰1회,80,,,13~20층,소형,1,202108,0,0,금천구,서울특별시 금천구 시흥동
서울서부7계,2019-55278,2019,아파트,"서울특별시 서대문구 연희동 194-30, 3층비315호 (연희동,브라운스톤 연희)",,연희동,194-30,,비315호,3.0,브라운스톤연희,16.93,7.3610000000000015,192000000,25770000,,2021-08-24,2021,8,24,유찰9회,13,,대항력있는임차인,지하~3층,소형,1,202108,0,1,서대문구,서울특별시 서대문구 연희동
서울남부1계,2020-111298,2020,아파트,"서울특별시 강서구 화곡동 1050-8, 제3층 제304호 (화곡동, 삼호파크빌)",,화곡동,1050-8,,304호,3.0,삼파크빌,46.32,27.44,290000000,232000000,,2021-08-24,2021,8,24,유찰1회,80,,,지하~3층,소형,1,202108,0,0,강서구,서울특별시 강서구 화곡동
서울남부11계,2018-107678,2018,아파트,"서울특별시 강서구 화곡동 938-26, 6층602호 (화곡동,한경빌)",,화곡동,938-26,,602호,6.0,한경빌,11.21,3.31,61000000,39040000,,2021-08-25,2021,8,25,유찰2회,64,,토지및건물 지분매각,4~7층,소형,1,202108,0,1,강서구,서울특별시 강서구 화곡동
서울남부11계,2020-112383,2020,아파트,"서울특별시 구로구 고척동 335, 제101동 제3층 제301호 (고척동, 예주유니츠아파트)",,고척동,335,제101동,301호,3.0,예주유니츠아파트,39.15,19.58,226000000,180800000,,2021-08-25,2021,8,25,유찰1회,80,,토지및건물 지분매각,지하~3층,소형,1,202108,0,1,구로구,서울특별시 구로구 고척동
서울남부3계,2020-6600,2020,아파트,"서울특별시 강서구 가양동 1474, 제101동 제4층 제404호 (가양동,경동아파트)",,가양동,1474,제101동,404호,4.0,1474제제가양동아파트,131.4,63.73,1070000000,1070000000,,2021-09-01,2021,9,1,유찰,100,,,4~7층,대형,1,202109,0,0,강서구,서울특별시 강서구 가양동
서울남부4계,2020-6488,2020,아파트,"서울특별시 강서구 화곡동 924-15, 제11층 제1102호 (화곡동,세교예지안6차)",,화곡동,924-15,,1102호,11.0,세교예지안6차,25.7,7.3,181000000,144800000,,2021-09-01,2021,9,1,유찰1회,80,,대항력있는임차인,8~12층,소형,1,202109,0,1,강서구,서울특별시 강서구 화곡동
서울남부3계,2020-102300,2020,아파트,"서울특별시 강서구 화곡동 351-24, 101동 4층 401호 (화곡동,푸른풍경채)",,화곡동,351-24,101동,401호,4.0,푸른풍경채,29.51,19.4,261000000,208800000,,2021-09-01,2021,9,1,유찰4회,80,,대항력있는임차인,4~7층,소형,1,202109,0,1,강서구,서울특별시 강서구 화곡동
서울남부4계,2020-105132,2020,아파트,"서울특별시 금천구 시흥동 801-3, 4층 402호 (시흥동,가온빌리지)",,시흥동,801-3,,402호,4.0,가온빌리지,29.74,18.6,178000000,91136000,,2021-09-01,2021,9,1,유찰3회,51,,"대항력있는임차인,형식적경매",4~7층,소형,1,202109,0,1,금천구,서울특별시 금천구 시흥동
서울남부3계,2020-5706,2020,아파트,"서울특별시 양천구 신월동 98-9, 제2층 제202호 (신월동,하나하이츠)",,신월동,98-9,0,202호,2.0,하나하이츠,53.58,30.72,212000000,135680000,188100000.0,2021-07-21,2021,7,21,매각,64,89.0,,지하~3층,소형,1,202107,1,0,양천구,서울특별시 양천구 신월동
서울남부4계,2020-110424,2020,아파트,"서울특별시 영등포구 영등포동1가 75-4, 제9층 제902호 (영등포동1가, 메트로가든)",,영등포동1가,75-4,0,902호,9.0,메트로가든,12.97,5.22,143000000,114400000,120660000.0,2021-07-14,2021,7,14,매각,80,84.0,선순위전세권,8~12층,소형,1,202107,1,1,영등포구,서울특별시 영등포구 영등포동1가
서울서부1계,2020-3808,2020,아파트,"서울특별시 마포구 서교동 490, 아파트동 14층101동1406호 (서교동,메세나폴리스)",,서교동,490,아파트동,1406호,14.0,메세나폴리스,142.034,26.39,1733000000,1733000000,1869999999.0,2021-07-13,2021,7,13,매각,100,108.0,법정지상권,13~20층,초대형,1,202107,1,1,마포구,서울특별시 마포구 서교동
서울중앙2계,2020-1845,2020,아파트,"서울특별시 강남구 청담동 69-18, 101동 12층1203호 (청담동,청담동양파라곤)",,청담동,69-18,101동,1203호,12.0,69-18청담동양파라곤,171.1005,87.666,3440000000,3440000000,3953999000.0,2021-07-08,2021,7,8,매각,100,115.0,,8~12층,초대형,1,202107,1,0,강남구,서울특별시 강남구 청담동
서울중앙2계,2020-101356,2020,아파트,"서울특별시 서초구 반포동 88-4, 2층 202호 (반포동,서래아르드빌)",,반포동,88-4,0,202호,2.0,서래아르드빌,200.4,86.73,1860000000,1190400000,1595000000.0,2021-07-08,2021,7,8,매각,64,86.0,,지하~3층,초대형,1,202107,1,0,서초구,서울특별시 서초구 반포동
서울서부6계,2020-3426,2020,아파트,"서울특별시 마포구 망원동 412-19, 5층501호 (망원동,뉴서울아파트)",,망원동,412-19,0,501호,5.0,뉴서울아파트,53.01,25.43,340000000,340000000,430100000.0,2021-07-06,2021,7,6,매각,100,127.0,,4~7층,소형,1,202107,1,0,마포구,서울특별시 마포구 망원동
서울서부3계,2020-3471,2020,아파트,"서울특별시 용산구 이촌동 300-10, 8층802호",,이촌동,300-10,0,802호,8.0,,177.62,33.058,1620000000,1620000000,1700000000.0,2021-07-06,2021,7,6,매각,100,105.0,,8~12층,초대형,1,202107,1,0,용산구,서울특별시 용산구 이촌동
서울북부3계,2020-4324,2020,아파트,"서울특별시 강북구 수유동 733, 9층917호 (수유동,하이시티)",,수유동,733,0,917호,9.0,하이시티,12.19,3.09,110000000,70400000,91336000.0,2021-07-05,2021,7,5,매각,64,83.0,,8~12층,소형,1,202107,1,0,강북구,서울특별시 강북구 수유동
서울북부3계,2020-5662,2020,아파트,"서울특별시 중랑구 망우동 579, 101동 1층102호 (망우동,한울네세창아파트)",,망우동,579,101동,102호,1.0,한울네세창아파트,84.76,51.05,344000000,344000000,420000001.0,2021-07-05,2021,7,5,매각,100,122.0,,지하~3층,중형,1,202107,1,0,중랑구,서울특별시 중랑구 망우동
서울북부4계,2020-107247,2020,아파트,"서울특별시 노원구 월계동 939, 104동 4층 405호 (월계동,월계흥화브라운빌)",,월계동,939,104동,405호,4.0,월계흥화브라운빌,29.9,14.18,215000000,215000000,249000100.0,2021-07-05,2021,7,5,매각,100,116.0,토지및건물 지분매각,4~7층,소형,1,202107,1,1,노원구,서울특별시 노원구 월계동
서울북부1계,2019-110452,2019,아파트,"서울특별시 강북구 미아동 8-87, 7층701호 (미아동,스카이빌)",,미아동,8-87,0,701호,7.0,스카이빌,163.91,45.52,403000000,403000000,603000000.0,2021-06-28,2021,6,28,매각,100,150.0,,4~7층,초대형,1,202106,1,0,강북구,서울특별시 강북구 미아동
서울동부4계,2020-1817,2020,아파트,"서울특별시 광진구 자양동 784-1, 103동 8층802호 (자양동,대동아파트)",,자양동,784-1,103동,802호,8.0,784-1자양동아파트,84.65,30.72,935000000,935000000,1297999990.0,2021-06-28,2021,6,28,매각,100,139.0,,8~12층,중형,1,202106,1,0,광진구,서울특별시 광진구 자양동
서울북부1계,2020-5495,2020,아파트,"서울특별시 성북구 정릉동 1024, 101동 8층805호 (정릉동,피오레아파트)",,정릉동,1024,101동,805호,8.0,피오레아파트,47.3,21.7,272000000,217600000,302500000.0,2021-06-28,2021,6,28,매각,80,111.0,토지및건물 지분매각,8~12층,소형,1,202106,1,1,성북구,서울특별시 성북구 정릉동
서울북부2계,2020-7194,2020,아파트,"서울특별시 성북구 종암동 3-91, 12층1308호 (종암동,노블레스타워 노인복지주택)",,종암동,3-91,0,1308호,12.0,노블레스타워노인복지주택,74.01,31.98,570000000,570000000,581110000.0,2021-06-28,2021,6,28,매각,100,102.0,,8~12층,중형,1,202106,1,0,성북구,서울특별시 성북구 종암동
서울남부9계,2019-4325,2019,아파트,"서울특별시 구로구 신도림동 290, 5동 3층309호 (신도림동,미성아파트)",,신도림동,290,5동,309호,3.0,미성아파트,66.03,35.7,422000000,422000000,851770000.0,2021-06-22,2021,6,22,매각,100,202.0,,지하~3층,중형,1,202106,1,0,구로구,서울특별시 구로구 신도림동
서울중앙1계,2020-4585,2020,아파트,"서울특별시 관악구 봉천동 1727, 101동 3층307호 (봉천동,관악 한일 유앤아이)",,봉천동,1727,101동,307호,3.0,관악한일유앤아이,84.866,51.2281,730000000,730000000,803700000.0,2021-06-22,2021,6,22,매각,100,110.0,대항력있는임차인,지하~3층,중형,1,202106,1,1,관악구,서울특별시 관악구 봉천동
서울중앙1계,2020-106887,2020,아파트,"서울특별시 강남구 일원동 718, 101동 5층502호 (일원동,샘터마을아파트)",,일원동,718,101동,502호,5.0,샘터마을아파트,6.72,29.29,1010000000,1010000000,1010000000.0,2021-06-22,2021,6,22,매각,100,100.0,토지및건물 지분매각,4~7층,,1,202106,1,1,강남구,서울특별시 강남구 일원동
서울남부9계,2020-111120,2020,아파트,"서울특별시 양천구 목동 954, 제102동 제6층 제605호 (목동, 목동웨스트빌아파트)",,목동,954,제102동,605호,6.0,954제제목동웨스트빌아파트,77.34899999999998,38.437,566000000,566000000,731000000.0,2021-06-22,2021,6,22,매각,100,129.0,대항력있는임차인,4~7층,중형,1,202106,1,1,양천구,서울특별시 양천구 목동
서울북부8계,2019-3240,2019,아파트,"서울특별시 동대문구 장안동 378-3, 4층402호 (장안동,공감대아파트)",,장안동,378-3,0,402호,4.0,공감대아파트,109.1,51.6416,460000000,460000000,560000000.0,2021-06-21,2021,6,21,매각,100,122.0,,4~7층,대형,1,202106,1,0,동대문구,서울특별시 동대문구 장안동
서울동부1계,2020-4564,2020,아파트,"서울특별시 송파구 신천동 17, 117동 2층201호 (신천동,파크리오)",,신천동,17,117동,201호,2.0,파크리오,121.63,55.28,2042000000,2042000000,2503000000.0,2021-06-21,2021,6,21,매각,100,123.0,공유물분할경매,지하~3층,대형,1,202106,1,1,송파구,서울특별시 송파구 신천동
서울북부9계,2020-5068,2020,아파트,"서울특별시 성북구 돈암동 609-1, 210동 4층402호 (돈암동,한진아파트)",,돈암동,609-1,210동,402호,4.0,한진아파트,84.87,35.36,710000000,710000000,787920000.0,2021-06-21,2021,6,21,매각,100,111.0,,4~7층,중형,1,202106,1,0,성북구,서울특별시 성북구 돈암동
서울북부8계,2020-5129,2020,아파트,"서울특별시 중랑구 신내동 317, 103동 14층1406호 (신내동,데시앙)",,신내동,317,103동,1406호,14.0,데시앙,23.37,6.711,68000000,68000000,80888800.0,2021-06-21,2021,6,21,매각,100,119.0,형식적경매,13~20층,소형,1,202106,1,1,중랑구,서울특별시 중랑구 신내동
서울동부1계,2020-50925,2020,아파트,"서울특별시 강동구 명일동 44, 6동 13층1301호 (명일동,신동아아파트)",,명일동,44,6동,1301호,13.0,44명일동아아파트,127.33,75.81,1800000000,1440000000,1765800000.0,2021-06-21,2021,6,21,매각,80,98.0,,13~20층,대형,1,202106,1,0,강동구,서울특별시 강동구 명일동
서울북부9계,2020-104880,2020,아파트,"서울특별시 성북구 정릉동 435, 201동 8층801호 (정릉동,중앙하이츠빌2단지)",,정릉동,435,201동,801호,8.0,중앙하이츠빌2단지,84.6824,40.6947,690000000,441600000,716923000.0,2021-06-21,2021,6,21,매각,64,104.0,,8~12층,중형,1,202106,1,0,성북구,서울특별시 성북구 정릉동
서울북부9계,2020-107216,2020,아파트,"서울특별시 노원구 월계동 448-3, 다동 401호",,월계동,448-3,다동,401호,4.0,448-3,22.24,11.69,116000000,116000000,143888800.0,2021-06-21,2021,6,21,매각,100,124.0,대항력있는임차인,4~7층,소형,1,202106,1,1,노원구,서울특별시 노원구 월계동
서울남부5계,2020-109264,2020,아파트,"서울특별시 강서구 화곡동 1160, 제7층 제705호 (화곡동,상진지오벨리아파트)",,화곡동,1160,0,705호,7.0,상진지오벨리아파트,64.78,39.3222,300000000,300000000,379000000.0,2021-06-17,2021,6,17,매각,100,126.0,대항력있는임차인,4~7층,중형,1,202106,1,1,강서구,서울특별시 강서구 화곡동
서울중앙4계,2019-109354,2019,아파트,"서울특별시 강남구 도곡동 527, 403동 1층 103호 (도곡동,도곡렉슬아파트)",,도곡동,527,403동,103호,1.0,도곡렉슬아파트,119.8906,55.1442,2235000000,2235000000,2948999000.0,2021-06-16,2021,6,16,매각,100,132.0,법정지상권,지하~3층,대형,1,202106,1,1,강남구,서울특별시 강남구 도곡동
서울중앙4계,2020-104492,2020,아파트,"서울특별시 서초구 방배동 881-26, 201동 12층1204호 (방배동,방배2차이-편한세상)",,방배동,881-26,201동,1204호,12.0,방배2차이-편한세상,81.68,31.3,935000000,935000000,941111000.0,2021-06-16,2021,6,16,매각,100,101.0,토지및건물 지분매각,8~12층,중형,1,202106,1,1,서초구,서울특별시 서초구 방배동
서울남부8계,2020-108865,2020,아파트,"서울특별시 강서구 화곡동 353-50, 제5층 제502호",,화곡동,353-50,0,502호,5.0,제제,33.74,18.76,150000000,120000000,140133000.0,2021-06-16,2021,6,16,매각,80,93.0,대항력있는임차인,4~7층,소형,1,202106,1,1,강서구,서울특별시 강서구 화곡동
서울중앙3계,2020-3049,2020,아파트,"서울특별시 강남구 대치동 511, 106동 6층607호 (대치동,한보미도맨션)",,대치동,511,106동,607호,6.0,한보미도맨션,141.32,78.25,2930000000,2930000000,3661227000.0,2021-06-15,2021,6,15,매각,100,125.0,,4~7층,초대형,1,202106,1,0,강남구,서울특별시 강남구 대치동
서울서부7계,2020-4276,2020,아파트,"서울특별시 서대문구 홍제동 454, 103동 1층106호 (홍제동,유원하나아파트)",,홍제동,454,103동,106호,1.0,유원하나아파트,72.34,33.99,425000000,425000000,501150000.0,2021-06-15,2021,6,15,매각,100,118.0,형식적경매,지하~3층,중형,1,202106,1,1,서대문구,서울특별시 서대문구 홍제동
서울서부5계,2020-56772,2020,아파트,"서울특별시 서대문구 홍제동 461, 106동 11층 1101호 (홍제동,홍제삼성래미안아파트)",,홍제동,461,106동,1101호,11.0,홍제삼성래미안아파트,32.76,17.31,508000000,508000000,541050000.0,2021-06-15,2021,6,15,매각,100,107.0,,8~12층,소형,1,202106,1,0,서대문구,서울특별시 서대문구 홍제동
서울서부5계,2020-57188,2020,아파트,"서울특별시 서대문구 홍제동 455, 제102동 제6층 제604호",,홍제동,455,제102동,604호,6.0,455제제,84.96,36.41,690000000,690000000,732120000.0,2021-06-15,2021,6,15,매각,100,106.0,,4~7층,중형,1,202106,1,0,서대문구,서울특별시 서대문구 홍제동
서울동부5계,2020-2179,2020,아파트,"서울특별시 송파구 가락동 95-1, 106동 15층1501호 (가락동,가락금호아파트)",,가락동,95-1,106동,1501호,15.0,가락금아파트,59.91,17.886,1025000000,1025000000,1025000000.0,2021-06-14,2021,6,14,배당종결,100,100.0,,13~20층,소형,1,202106,1,0,송파구,서울특별시 송파구 가락동
서울동부5계,2020-3585,2020,아파트,"서울특별시 송파구 문정동 1, 125동 14층1403호 (문정동,문정래미안아파트)",,문정동,1,125동,1403호,14.0,문정래미안아파트,120.97,49.68,1450000000,1450000000,1791000000.0,2021-06-14,2021,6,14,매각,100,124.0,,13~20층,대형,1,202106,1,0,송파구,서울특별시 송파구 문정동
서울동부5계,2020-54347,2020,아파트,"서울특별시 강동구 성내동 542, 2층202호 (성내동,노블네스트)",,성내동,542,0,202호,2.0,노블네스트,101.32,37.84,700000000,700000000,720000000.0,2021-06-14,2021,6,14,매각,100,103.0,,지하~3층,대형,1,202106,1,0,강동구,서울특별시 강동구 성내동
서울동부5계,2020-55111,2020,아파트,"서울특별시 광진구 자양동 642, 501동 14층1401호 (자양동,자양5차현대아파트)",,자양동,642,501동,1401호,14.0,자양5차현대아파트,38.47,12.11,484500000,484500000,540990000.0,2021-06-14,2021,6,14,매각,100,112.0,토지및건물 지분매각,13~20층,소형,1,202106,1,1,광진구,서울특별시 광진구 자양동
서울동부5계,2020-55173,2020,아파트,"서울특별시 송파구 가락동 95-1, 103동 20층2004호 (가락동,가락금호아파트)",,가락동,95-1,103동,2004호,20.0,가락금아파트,85.0,25.376,1390000000,1390000000,1481000000.0,2021-06-14,2021,6,14,매각,100,107.0,,13~20층,중형,1,202106,1,0,송파구,서울특별시 송파구 가락동
서울남부3계,2020-5911,2020,아파트,"서울특별시 영등포구 당산동 121-108, 제6층 제606호 (당산동,훼미리하우스138)",,당산동,121-108,0,606호,6.0,훼미리하우스138,14.28,4.774,136000000,108800000,121808000.0,2021-06-10,2021,6,10,매각,80,90.0,,4~7층,소형,1,202106,1,0,영등포구,서울특별시 영등포구 당산동
서울서부6계,2019-56455,2019,아파트,"서울특별시 용산구 이촌동 435, 6층603호 (이촌동,보람 더하임)",,이촌동,435,0,603호,6.0,보람더하임,84.5839,49.467,1385000000,1385000000,1385116000.0,2021-06-01,2021,6,1,매각,100,100.0,"공유물분할경매,대항력있는임차인",4~7층,중형,1,202106,1,1,용산구,서울특별시 용산구 이촌동
서울서부3계,2020-1727,2020,아파트,"서울특별시 마포구 대흥동 660, 111동 20층2001호 (대흥동,마포태영아파트)",,대흥동,660,111동,2001호,20.0,마포태영아파트,114.93,36.54,1570000000,1570000000,1703000000.0,2021-06-01,2021,6,1,매각,100,108.0,,13~20층,대형,1,202106,1,0,마포구,서울특별시 마포구 대흥동
서울서부3계,2020-54073,2020,아파트,"서울특별시 은평구 신사동 297, 제102동 제6층 제606호 (신사동,씨티아파트)",,신사동,297,제102동,606호,6.0,씨티아파트,58.09,18.0246,356000000,356000000,480000000.0,2021-06-01,2021,6,1,매각,100,135.0,,4~7층,소형,1,202106,1,0,은평구,서울특별시 은평구 신사동
서울북부3계,2020-105951,2020,아파트,"서울특별시 노원구 상계동 1318, 101동 6층604호 (상계동,노원아이파크)",,상계동,1318,101동,604호,6.0,노원아이파크,139.28,41.74,703000000,449920000,783000000.0,2021-05-31,2021,5,31,매각,64,111.0,대항력있는임차인,4~7층,초대형,1,202105,1,1,노원구,서울특별시 노원구 상계동
서울북부3계,2020-106305,2020,아파트,"서울특별시 성북구 석관동 110-2, 1동 2층201호 (석관동,중앙하이츠아파트)",,석관동,110-2,1동,201호,2.0,중앙하이츠아파트,42.43,15.65,269000000,172160000,281100000.0,2021-05-31,2021,5,31,매각,64,104.0,토지및건물 지분매각,지하~3층,소형,1,202105,1,1,성북구,서울특별시 성북구 석관동
서울북부3계,2020-107230,2020,아파트,"서울특별시 강북구 미아동 1354, 106동 1층 101호 (미아동,벽산라이브파크아파트)",,미아동,1354,106동,101호,1.0,벽산라이브파크아파트,84.89,43.31,567000000,567000000,625380000.0,2021-05-31,2021,5,31,매각,100,110.0,,지하~3층,중형,1,202105,1,0,강북구,서울특별시 강북구 미아동
서울북부3계,2020-108356,2020,아파트,"서울특별시 성북구 하월곡동 226, 108동 8층804호 (하월곡동,월곡래미안루나밸리)",,하월곡동,226,108동,804호,8.0,월곡래미안루나밸리,84.88,43.4439,890000000,890000000,998980000.0,2021-05-31,2021,5,31,매각,100,112.0,,8~12층,중형,1,202105,1,0,성북구,서울특별시 성북구 하월곡동
서울북부4계,2020-109472,2020,아파트,"서울특별시 중랑구 면목동 1502, 104동 1층105호 (면목동,면목현대아파트)",,면목동,1502,104동,105호,1.0,면목현대아파트,72.63,29.22,549000000,549000000,592950000.0,2021-05-31,2021,5,31,매각,100,108.0,,지하~3층,중형,1,202105,1,0,중랑구,서울특별시 중랑구 면목동
서울북부2계,2020-5501,2020,아파트,"서울특별시 중랑구 면목동 1510, 201동 17층1704호 (면목동,면목두산아파트)",,면목동,1510,201동,1704호,17.0,면목두산아파트,134.2,36.598,769000000,769000000,889999990.0,2021-05-24,2021,5,24,매각,100,116.0,,13~20층,초대형,1,202105,1,0,중랑구,서울특별시 중랑구 면목동
서울중앙1계,2020-1838,2020,아파트,"서울특별시 관악구 봉천동 464-41, 2층201호",,봉천동,464-41,0,201호,2.0,,147.4,50.67,615000000,615000000,651110000.0,2021-05-18,2021,5,18,매각,100,106.0,대항력있는임차인,지하~3층,초대형,1,202105,1,1,관악구,서울특별시 관악구 봉천동
서울중앙1계,2020-3377,2020,아파트,"서울특별시 관악구 신림동 1433-55, 11층1103호 (신림동,프라비다트라움)",,신림동,1433-55,0,1103호,11.0,프라비다트라움,14.06,4.492,125000000,100000000,124000000.0,2021-05-18,2021,5,18,매각,80,99.0,,8~12층,소형,1,202105,1,0,관악구,서울특별시 관악구 신림동
서울중앙1계,2020-104454,2020,아파트,"서울특별시 종로구 평창동 66-1, 3층 304호 (평창동,엘리시아)",,평창동,66-1,0,304호,3.0,엘리시아,236.07,135.86,1327000000,1061600000,1233300000.0,2021-05-18,2021,5,18,매각,80,93.0,,지하~3층,초대형,1,202105,1,0,종로구,서울특별시 종로구 평창동
